id,longitude,latitude,circumference,height,start_date,note,denotation,diameter_crown,date,diameter
9586211660,7.665737,47.809295,,,,provisorsch,,,,
1468669721,7.65703,47.815067,,,,provisorisch,,,,
9569658070,7.7872032,47.9236802,,,,provisorisch,,,,
9569718995,7.6725955,47.8181205,,,,provisorisch,,,,
9569728710,7.6687694,47.8109999,,,,provisorisch,,,,
9569734222,7.6099904,47.7728855,,,,provisorisch,,,,
9569735761,7.6361509,47.7870673,,,,provisorisch,,,,
9569745001,7.8399714,47.975289,,,,provisorisch,,,,
9569760541,7.7626552,47.9170897,,,,provisorisch,,,,
9569760542,7.6432955,47.8352758,,,,provisorisch,,,,
9585951268,7.602831,47.755786,,,,provisorisch,,,,
9586303777,7.664693,47.814608,,,,provisorisch,,,,
8493792776,7.7246866,47.4593061,0.01,,,"oberer Teil abgestorben, neuer Stammaustrieb 40cm lang",,,,
9506327785,8.795027,48.951337,,,,date: unknown,natural_monument,,,
9507127440,8.822513,48.969375,,,,date: unknown,natural_monument,,,
9569622915,7.652239,47.642323,1.02,,,date: March 2022,,,,
6311680259,7.57159,47.56641,0.58,,,data:March 2019; age:1983; plantation:1993; BS034482 Kannenfeldpark,urban,,,
9124311987,8.3354458,47.3597378,unknown,,,data: unknown,,,,
9124315577,8.3353592,47.3547576,unknown,,,data: unknown,,,,
9124383325,8.2304839,47.4920754,unknown,,,data: unknown,,,,
9124414172,8.1209424,47.5137393,unknown,,,data: unknown,,,,
9124464698,8.1214842,47.5070238,unknown,,,data: unknown,,,,
9125004352,8.0330693,47.5127283,unknown,,,data: unknown,,,,
9125021046,8.032936,47.5129665,unknown,,,data: unknown,,,,
9167048853,8.0973516,47.532114,unknown,,,data: unknown,,,,
9168350938,7.8963349,47.5398542,,,,data: unknown,,,,
9507209218,8.716833,49.009205,,,,data: unknown,natural_monument,,,
9507335967,8.928872,49.107842,,,,data: unknown,natural_monument,,,
9507414460,9.275267,49.207147,,,,data: unknown,natural_monument,,,
9507526028,8.972858,49.001075,,,,data: unknown,natural_monument,,,
9507575015,9.108695,48.9795,,,,data: unknown,natural_monument,,,
9507832350,9.126507,49.37892,,,,data: unknown,natural_monument,,,
9507520750,8.93377,48.894155,,,,data: unknoown,natural_monument,,,
9507394960,9.795098,49.480718,,,,data: unknon,natural_monument,,,
9630255240,7.69953,47.50497,0.01,0.4,,data: plantation March 2022,,,,
9630262345,7.69972,47.505,0.01,0.5,,data: plantation March 2022,,,,
9347543989,7.6994487,47.5051135,,0.35,,data: plantation December 2021,,,,
9060849891,8.3008714,47.261012,0.31,,,data: Septenber 2021,,,,
9091609526,7.5481025,47.7602172,,,,data: September 2021  /  3 trees,,,,
8942302320,7.9781779,47.5201525,0.20,,,data: September 2021,,,,
8942313498,7.9776721,47.5201769,0.45,,,data: September 2021,,,,
8942316106,7.9763452,47.5202033,0.44,,,data: September 2021,,,,
8942339914,7.9758241,47.5203527,0.15,,,data: September 2021,,,,
8942359635,7.9758844,47.5203965,0.29,,,data: September 2021,,,,
8942373752,7.9759899,47.5204118,0.58,,,data: September 2021,,,,
8942414403,7.9758675,47.5202623,0.31,,,data: September 2021,,,,
8942430283,7.9754638,47.5204664,0.60,,,data: September 2021,,,,
8942431109,7.9760485,47.520426,0.44,,,data: September 2021,,,,
8942432266,7.9752483,47.5204557,0.64,,,data: September 2021,,,,
8942446379,7.9753861,47.5203346,0.42,,,data: September 2021,,,,
9060455491,8.3162341,47.2374772,0.62,,,data: September 2021,,,,
9060888184,8.3009249,47.2609374,0.32,,,data: September 2021,,,,
9060894567,8.3009348,47.2609316,0.11,,,data: September 2021,,,,
9060917240,8.3008953,47.2606738,0.30,,,data: September 2021,,,,
9061040309,8.2560148,47.587103,0.10,,,data: September 2021,,,,
9064037137,8.1788627,47.5165561,0.45,,,data: September 2021,,,,
9082217544,8.2560208,47.5870736,0.07,,,data: September 2021,,,,
9082248782,8.2560825,47.5871398,0.39,,,data: September 2021,,,,
9082336095,7.7114645,47.4795915,0.17,,,data: September 2021,alley,,,
9082348023,7.7116014,47.4795111,0.13,,,data: September 2021,alley,,,
9083684888,8.0697831,47.4663055,0.44,,,data: September 2021,,,,
9083686797,8.071639,47.4657967,0.41,,,data: September 2021,,,,
9083687893,8.0231494,47.4588633,0.33,,,data: September 2021,,,,
9083760448,8.0232219,47.4588885,0.33,,,data: September 2021,,,,
9084632966,7.7273535,47.4816788,0.56,,,data: September 2021,,,,
9084681515,7.7125044,47.4779433,0.02,,,data: September 2021,,,,
9084681516,7.7165377,47.4775979,0.03,,,data: September 2021,,,,
9091853226,7.6679979,47.8025882,1.17,,,data: September 2021,,,,
9091891257,7.6686034,47.831206,1.24,,,data: September 2021,urban,,,
